"difference","startDate","startSentiment","endSentiment","endDate","ticker","startCount","endCount","countRatio","countSlope","changeInSentimentSlope","normalizedCountSlope","normalizedSentimentSlope","normalizedDifference","normalizedCountRatio","priceOnStartDate","priceOnEndDate","priceOnEndDate3","priceOnEndDate7","priceOnEndDate15","priceOnEndDate30","decision"
"-19","2016-01-05","19","0","2016-01-06","bbry","15","1","0.06666666666666667","14","-19","0.5418181818181819","0.4358108108108108","0.4358108108108108","0.00022063025824372998","8.86","8.74","7.52","7.08","6.88","7.09","do nothing"
"-18","2016-01-13","14","-4","2016-01-14","goog","5","1","0.2","4","-18","0.5236363636363637","0.4391891891891892","0.4391891891891892","0.0006884727335557358","700.559998","714.719971","701.789978","706.590027","742.950012","691","do nothing"
"-18","2016-01-13","20","2","2016-01-20","xoma","7","3","0.42857142857142855","0.5714285714285714","-2.5714285714285716","0.5174025974025974","0.4913127413127413","0.4391891891891892","0.0014904884055191741","1.02","1.03","1.01","1.04","0.94","0.78","do nothing"
"-18","2016-01-01","31","13","2016-01-03","fit","21","2","0.09523809523809523","9.5","-9","0.5336363636363637","0.46959459459459457","0.4391891891891892","0.00032088221723915975","29.76","29.76","22.9","18.85","17.66","16.09","do nothing"
"-18","2016-01-05","23","5","2016-01-06","amda","40","2","0.05","38","-18","0.5854545454545454","0.4391891891891892","0.4391891891891892","0.00016214994882972927","0.132","0.129","0.113","0.109","0.12","2.98","do nothing"
"-17","2016-01-11","17","0","2016-01-20","psec","2","1","0.5","0.1111111111111111","-1.8888888888888888","0.5165656565656566","0.4936186186186186","0.44256756756756754","0.0017411183030077487","6.56","5.84","6.01","6.06","6.1","6.83","do nothing"
"-17","2016-01-06","17","0","2016-01-07","dis","8","3","0.375","5","-17","0.5254545454545455","0.44256756756756754","0.44256756756756754","0.0013025159824027433","100.360001","99.5","99.919998","99.110001","96.900002","92.120003","do nothing"
"-17","2016-01-01","13","-4","2016-01-05","ohrp","5","2","0.4","0.75","-4.25","0.5177272727272727","0.4856418918918919","0.44256756756756754","0.0013902364465237444","6.05","5.84","4.99","4.18","3.62","3.53","do nothing"
"-17","2016-01-11","21","4","2016-01-12","tvix","27","3","0.1111111111111111","24","-17","0.56","0.44256756756756754","0.44256756756756754","0.0003765777500143985","8.78","7.95","10.58","10.58","9.85","12.74","do nothing"
"-17","2016-01-01","20","3","2016-01-08","plug","25","3","0.12","3.142857142857143","-2.4285714285714284","0.5220779220779221","0.49179536679536684","0.44256756756756754","0.00040776724836853224","2.1","1.92","1.85","1.66","1.75","1.61","do nothing"
"-17","2016-01-05","22","5","2016-01-06","nflx","43","12","0.27906976744186046","31","-17","0.5727272727272728","0.44256756756756754","0.44256756756756754","0.0009659142014733205","107.660004","117.68","114.970001","106.559998","102.349998","82.790001","do nothing"
"-17","2016-01-01","40","23","2016-01-05","amda","20","40","2","-5","-4.25","0.5072727272727273","0.4856418918918919","0.44256756756756754","0.007004346150267813","0.113","0.132","0.119","0.11","0.117","2.94","do nothing"
"-17","2016-01-22","19","2","2016-01-26","free","6","2","0.3333333333333333","1","-4.25","0.5181818181818182","0.4856418918918919","0.44256756756756754","0.0011563152088677415","0.17","0.15","0.16","0.14","0.08","0.03","do nothing"
"-16","2016-01-30","3","-13","2016-01-31","cmg","6","18","3","-12","-16","0.49454545454545457","0.44594594594594594","0.44594594594594594","0.010513164715107855","472.640015","472.640015","461.73999","445","492.940002","509.970001","do nothing"
"-16","2016-01-29","16","0","2016-01-30","kndi","4","1","0.25","3","-16","0.5218181818181818","0.44594594594594594","0.44594594594594594","0.0008639136617977379","7.88","7.83","7.58","6.99","7.18","6.97","do nothing"
"-16","2016-01-01","12","-4","2016-01-13","cere","4","4","1","0","-1.3333333333333333","0.5163636363636364","0.4954954954954955","0.44594594594594594","0.00349552758542777","0.34","0.24","0.24","0.25","0.24","0.24","do nothing"
"-16","2016-01-01","17","1","2016-01-03","cmrx","22","1","0.045454545454545456","10.5","-8","0.5354545454545454","0.47297297297297297","0.44594594594594594","0.00014620077353500182","8.63","8.63","9.01","8.06","7.75","7.34","do nothing"
"-16","2016-01-05","16","0","2016-01-06","cmrx","17","2","0.11764705882352941","15","-16","0.5436363636363636","0.44594594594594594","0.44594594594594594","0.0003995112046865557","9.3","9.01","8.06","7.1","8.54","6.93","do nothing"
"-16","2016-01-01","17","1","2016-01-05","nke","11","2","0.18181818181818182","2.25","-4","0.5204545454545455","0.4864864864864865","0.44594594594594594","0.0006246760323768258","61.52","62.380001","58.869999","59.939999","59.040001","60.169998","do nothing"
"-16","2016-01-01","18","2","2016-01-04","tsla","14","2","0.14285714285714285","4","-5.333333333333333","0.5236363636363637","0.48198198198198194","0.44594594594594594","0.0004879688155648761","223.410004","223.410004","215.649994","207.850006","204.720001","173.479996","do nothing"
"-16","2016-01-29","0","-16","2016-01-30","twtr","1","14","14","-13","-16","0.49272727272727274","0.44594594594594594","0.44594594594594594","0.04911016892834833","16.799999","17.91","16.08","14.9","16.360001","18.120001","do nothing"
"-16","2016-01-05","13","-3","2016-01-06","rlyp","34","2","0.058823529411764705","32","-16","0.5745454545454546","0.44594594594594594","0.44594594594594594","0.00019311011263714142","26.639999","24.5","19.6","19.15","19.27","18.07","do nothing"
"-16","2016-01-22","18","2","2016-01-25","aapl","58","1","0.017241379310344827","19","-5.333333333333333","0.5509090909090909","0.48198198198198194","0.44594594594594594","0.00004720589239531406","101.419998","99.440002","94.089996","96.43","94.989998","96.099998","do nothing"
